feature,coefficient,absolute_coefficient
RBCT1,6.40303949824566,6.40303949824566
capital_adequacy_ratio,-5.934430857338165,5.934430857338165
ASSET,-5.47412983857182,5.47412983857182
LIAB,-3.446479909731232,3.446479909731232
domestic_deposit_ratio,-3.1248181591066375,3.1248181591066375
DEPDOM,3.0584310144780047,3.0584310144780047
liquidity_ratio,2.9637854564722987,2.9637854564722987
DEP,-2.3701134241269055,2.3701134241269055
EQ,1.8644446008618607,1.8644446008618607
LNLSGR,-1.6480882580925218,1.6480882580925218
debt_ratio,-1.626669999603943,1.626669999603943
LNRESNCR,-1.5297023334575997,1.5297023334575997
gross_loan_ratio,1.3346945640543904,1.3346945640543904
LNLSNET,1.2895433121603543,1.2895433121603543
RBC1RWAJ,1.2196213712818775,1.2196213712818775
tier1_capital_ratio,-1.0067757895763578,1.0067757895763578
EEFFR,-0.9434498394443237,0.9434498394443237
equity_multiplier,-0.9284491775219084,0.9284491775219084
leverage_ratio,0.7751147035521142,0.7751147035521142
ore_to_assets,0.7315846646178468,0.7315846646178468
RBC1AAJ,-0.7014688847219607,0.7014688847219607
ROE,-0.5577221119583824,0.5577221119583824
INTINC,0.5489780332700642,0.5489780332700642
ERNASTR,-0.5014333369241175,0.5014333369241175
LNATRES,0.4508925328116047,0.4508925328116047
ORE,-0.4213197722286351,0.4213197722286351
loan_loss_reserve_ratio,0.36181792165949067,0.36181792165949067
NETINC,-0.3506887952898577,0.3506887952898577
ROA,0.3164004934742478,0.3164004934742478
noncurrent_loan_ratio,0.27875907342274775,0.27875907342274775
profitability_ratio,0.2043209871096057,0.2043209871096057
ELNANTR,0.1516121755342573,0.1516121755342573
loan_ratio,0.1148751916856103,0.1148751916856103
NCLNLS,0.09430712138482156,0.09430712138482156
NTLNLS,-0.047224938493908186,0.047224938493908186
interest_income_ratio,0.016618735433186326,0.016618735433186326
